epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.018,1.7509,1.5717,1.39072,0.80839,0.78172,0.83901,0.43597,1.78378,1.33272,1.43969,0.000555126,0.000555126,0.000555126
2,1697,1.77731,1.54616,1.41521,0.7832,0.80626,0.82204,0.41102,1.87069,1.23761,1.48971,0.00107414,0.00107414,0.00107414
3,2528.07,1.7536,1.54099,1.39694,0.81624,0.79797,0.84231,0.44785,1.7732,1.29551,1.45801,0.00155647,0.00155647,0.00155647
4,3361.05,1.73943,1.58848,1.40245,0.8147,0.79174,0.83953,0.42918,1.79509,1.31948,1.46292,0.00150197,0.00150197,0.00150197
5,4194.92,1.76657,1.50251,1.41018,0.8024,0.83102,0.85725,0.44547,1.78309,1.15382,1.46776,0.00144696,0.00144696,0.00144696
6,5034.11,1.72643,1.53414,1.39866,0.79405,0.83139,0.85019,0.43901,1.78593,1.15792,1.46719,0.00139195,0.00139195,0.00139195
7,5867.21,1.74833,1.50308,1.39704,0.80747,0.83356,0.85652,0.44589,1.78712,1.15603,1.47415,0.00133693,0.00133693,0.00133693
8,6705.77,1.76945,1.48741,1.41832,0.82081,0.80137,0.85074,0.4478,1.7816,1.24889,1.46573,0.00128192,0.00128192,0.00128192
9,7539.75,1.74287,1.50595,1.41048,0.80148,0.83382,0.84965,0.43871,1.77362,1.21861,1.45757,0.00122691,0.00122691,0.00122691
10,8368.54,1.73867,1.52783,1.39315,0.81138,0.82429,0.85691,0.44969,1.77465,1.17454,1.45954,0.0011719,0.0011719,0.0011719
11,9196.69,1.71481,1.43678,1.38818,0.81984,0.83471,0.86685,0.46098,1.75869,1.10711,1.45276,0.00111689,0.00111689,0.00111689
12,10026.2,1.73882,1.43128,1.40258,0.80903,0.84745,0.8639,0.45479,1.78875,1.08499,1.46706,0.00106188,0.00106188,0.00106188
13,10854.9,1.74809,1.44855,1.41559,0.80276,0.83909,0.85653,0.43864,1.82367,1.10298,1.48172,0.00100687,0.00100687,0.00100687
14,11681.8,1.69995,1.4753,1.3767,0.81118,0.84687,0.8625,0.45757,1.7747,1.10059,1.45573,0.000951857,0.000951857,0.000951857
15,12511.3,1.70555,1.43193,1.38292,0.81449,0.84343,0.86499,0.45903,1.76306,1.1175,1.45867,0.000896846,0.000896846,0.000896846
16,13344.4,1.73547,1.42327,1.40293,0.80375,0.83997,0.86134,0.45638,1.78534,1.11924,1.47037,0.000841835,0.000841835,0.000841835
17,14171.9,1.73579,1.44512,1.39821,0.81736,0.83107,0.86367,0.45939,1.7721,1.19281,1.45544,0.000786824,0.000786824,0.000786824
18,15003.8,1.72359,1.47549,1.38675,0.81584,0.83293,0.85732,0.44795,1.7812,1.21358,1.46253,0.000731813,0.000731813,0.000731813
19,15840.7,1.72119,1.42621,1.39403,0.80874,0.8403,0.86188,0.4588,1.76887,1.10836,1.45365,0.000676802,0.000676802,0.000676802
20,16669.3,1.7143,1.40264,1.3904,0.81557,0.84157,0.86479,0.46332,1.76947,1.05824,1.46022,0.000621791,0.000621791,0.000621791
21,17528.7,1.67352,1.43327,1.36972,0.80652,0.8272,0.8562,0.455,1.80426,1.15615,1.47485,0.00056678,0.00056678,0.00056678
22,18359.5,1.65147,1.401,1.37078,0.8209,0.83256,0.86586,0.46019,1.77027,1.16706,1.45182,0.000511769,0.000511769,0.000511769
23,19189.4,1.65083,1.36494,1.37317,0.82996,0.81657,0.85913,0.46481,1.76631,1.23008,1.462,0.000456758,0.000456758,0.000456758
24,20019,1.64243,1.35558,1.37631,0.81767,0.82801,0.8568,0.46133,1.76966,1.14548,1.46332,0.000401747,0.000401747,0.000401747
25,20849,1.63426,1.34057,1.36303,0.82232,0.82133,0.85929,0.45832,1.78047,1.19387,1.47191,0.000346736,0.000346736,0.000346736
26,21675.7,1.63606,1.33019,1.37191,0.82621,0.82849,0.86239,0.46351,1.77645,1.18197,1.46385,0.000291725,0.000291725,0.000291725
27,22499.4,1.61421,1.3055,1.3469,0.81558,0.83022,0.85984,0.45305,1.80093,1.14673,1.47543,0.000236714,0.000236714,0.000236714
28,23327.2,1.60412,1.31005,1.3436,0.82105,0.83084,0.86071,0.46033,1.78577,1.15082,1.46783,0.000181703,0.000181703,0.000181703
29,24161.6,1.60652,1.27941,1.35455,0.82398,0.83694,0.8652,0.4643,1.77392,1.12387,1.46068,0.000126692,0.000126692,0.000126692
30,24988.6,1.59678,1.28151,1.3421,0.82574,0.83238,0.86357,0.46388,1.76703,1.13332,1.46129,7.1681e-05,7.1681e-05,7.1681e-05
